
2022/03/06 (19:52:20) | ===> btop++ v.1.2.4
2022/03/06 (19:52:20) | INFO: Logger set to INFO
2022/03/06 (19:52:21) | INFO: Logger set to DEBUG
2022/03/06 (19:52:35) | INFO: Logger set to INFO
2022/03/06 (19:52:35) | INFO: Logger set to DEBUG
2022/03/06 (19:52:36) | INFO: Logger set to INFO
2022/03/06 (19:56:06) | INFO: Quitting! Runtime: 00:07:29

2022/03/06 (19:58:18) | ===> btop++ v.1.2.4
2022/03/06 (19:58:18) | INFO: Logger set to INFO
2022/03/06 (19:58:18) | INFO: Running on /dev/pts/2
2022/03/06 (20:00:52) | INFO: Quitting! Runtime: 00:02:34

2022/03/06 (20:05:22) | ===> btop++ v.1.2.4
2022/03/06 (20:05:22) | INFO: Logger set to INFO
2022/03/06 (20:05:22) | INFO: Running on /dev/pts/3
2022/03/06 (20:05:31) | INFO: Quitting! Runtime: 00:00:09
